,restaurant_name,ratings,review,location,time
94,Yentafo Wad Khaek,4.2/5,(4),"คริสตัลมาร์เก็ต ถนนประดิษฐ์มนูธรรม ลาดพร้าว, 10230 Bangkok","

                                                                        Mon - Sun                                                                                        10:30 AM - 7:30 PM                                    
"
95,Chakuma (Wutthakat 15),4.6/5,(16),"119 ซ. วุฒากาศ 15 ตลาดพลู ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 8:00 PM                                    
"
96,Kaomoodang Massenger,3.9/5,(30),"363/1 ถนนพัฒนาการ-ราชพฤกษ์ แขวงปากคลองภาษีเจริญ เขตภาษีเจริญ, 10150 Bangkok","

                                                                        Mon - Sat                                                                                        10:00 AM - 1:30 PM                                    
"
97,Mhoo Tod Nhai Tumnan (Daokanong),3.6/5,(3),"ตลาดอินดี้ดาวคะนอง ถนนสุขสวัสดิ์ จอมทอง, 10150 Bangkok","

                                                                        Mon,                                                                                                 Tue,                                                                                                 Thu - Sun                                                                                        4:30 PM - 11:30 PM                                    
"
98,Kaowtom Pla Chonburi,4.7/5,(8),"ซอยสวนสาธารณะสมเด็จพระเจ้าตากสินมหาราช 19 สำเหร่, ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sat                                                                                        5:00 PM - 9:00 PM                                    
"
99,OOTOYA (The Mall Thapra),4.6/5,(142),"No. 99, Ratchadapisek Road (Thapra-Taksin) Bukkalo Sub-district, Thonburi District, Bangkok 10600, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 9:00 PM,                                             10:00 AM - 9:00 PM                                    
"
100,Leo Arhan Tam Sang,4.1/5,(83),"278 ซอยอินทรพิทักษ์ 1 บางยี่เรือ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        10:00 AM - 10:00 PM                                    
"
101,Joke Perd Mor (Latya),3.4/5,(19),"348 ถนนลาดหญ้า คลองสาน, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        12:00 AM - 1:30 AM,                                             5:00 PM - 11:59 PM                                    
"
102,G&M Bubble Tea (Big C),4.6/5,(45),"ศูนย์อาหารที่บิ๊กซีอิสรภาพ2 ถ.อิสรภาพ วัดกัลยาณ์ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        11:00 AM - 7:00 PM                                    
"
103,Sushi Mhai (Itsaraphap 24),4.7/5,(23),"23 ซอยอิสรภาพ 24 วัดกัลยาณ์ ธนบุรี, 10600 Bangkok","

                                                                        Mon - Sun                                                                                        11:45 AM - 9:00 PM                                    
"
104,The Pizza Company (Wongwianyai),4.6/5,(204),"เลขที่ 101 ถนนลาดหญ้า, 10600 Bangkok","

                                                                        Mon - Thu,                                                                                                 Sun                                                                                        10:00 AM - 10:00 PM                                    

                                                                        Fri,                                                                                                 Sat                                                                                        10:00 AM - 11:59 PM                                    
"
